Location,Plug,Point_ID,Population,Plot,Point ID,Plot_Point,δ13CVPDB (‰),Total C (µg),Sample Weight (mg) from Sample List,Collection Date #1,Stem length (cm) #1,Filename of flower JPG #1,Flower Diameter #1 (cm),Collection Date #2,Stem length (cm) #2,Filename of flower JPG #2,Flower Diameter #2 (cm),Collection Date #3,Stem length (cm) #3,Filename of flower JPG #3,Flower Diameter #3 (cm),Date of sowing,Date of Germination,Date of First Flower,Date of First Fruit Collection,Date of Last Fruit Collection,Date of first (closed) fruit collection from envelope,Date of first (dehisced) fruit collection from envelope,Days from sowing to germination,Days from germination to flowering,Days from sowing to flowering,Days from Sowing to First Fruit collection,Days from first flower to first fruit,Total number of closed fruits collected (lifetime),Total number of filled seeds in all closed fruits,Mean seeds per closed fruit,Total number of dehisced fruits,Total number of all fruits,Above-ground Skeleton Biomass (g),,Notes
1.4.8,25A,BO_019,BO,19,P4,BO_019_P4,-31.7934,1011.0728,3,4/22/19,3.5,IMG_4269,2.58,4/22/19,4.7,IMG_4270,2.64,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,6/11/19,27,105,132,174,42,1,5,5,2,3,0.0428,,
1.4.8,25E,BO_019,BO,19,P5,BO_019_P5,-31.561,490.8182,1.6,4/22/19,2.8,IMG_4271,2.92,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,NA,6/3/19,27,105,132,174,42,NA,NA,NA,2,2,0.0213,,
1.4.8,25I,BO_019,BO,19,P6,BO_019_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.8,45A,BO_019,BO,19,P7,BO_019_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.8,45E,BO_019,BO,19,P8,BO_019_P8,-30.9582,479.8455,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,1,4,4,NA,1,0.012,,
1.4.8,45I,BO_019,BO,19,P9,BO_019_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.10,5A,BO_020,BO,20,P1,BO_020_P1,-30.6197,404.027,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,5/20/19,NA,5/20/19,27,105,132,160,28,NA,NA,NA,1,1,0.0172,,
1.4.10,5E,BO_020,BO,20,P2,BO_020_P2,-30.6397,341.8792,1.2,4/22/19,4.3,IMG_4267,1.84,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,0.0073,,
1.4.10,5I,BO_020,BO,20,P3,BO_020_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.10,25A,BO_020,BO,20,P4,BO_020_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.10,25E,BO_020,BO,20,P5,BO_020_P5,-30.1707,729.1442,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,3,3,NA,1,0.0232,,
1.4.10,25I,BO_020,BO,20,P6,BO_020_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.10,45A,BO_020,BO,20,P7,BO_020_P7,-30.9292,761.0582,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/29/19,5/13/19,5/28/19,5/14/19,NA,34,105,139,153,14,2,11,5.5,NA,2,0.0254,,
1.4.10,45E,BO_020,BO,20,P8,BO_020_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.10,45I,BO_020,BO,20,P9,BO_020_P9,-30.5573,411.3739,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,4,4,NA,1,0.0121,,
1.4.12,5A,BO_021,BO,21,P1,BO_021_P1,-29.8535,393.6069,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,NA,6/11/19,27,105,132,182,50,NA,NA,NA,1,1,0.0161,,
1.4.12,5E,BO_021,BO,21,P2,BO_021_P2,-30.1876,865.8907,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,6/11/19,5/20/19,NA,27,105,132,160,28,2,1,0.5,NA,2,0.0286,,
1.4.12,5I,BO_021,BO,21,P3,BO_021_P3,-30.7257,998.643,2.5,4/22/19,4.9,IMG_4263,1.96,4/22/19,3.5,IMG_4264,1.91,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/28/19,5/28/19,5/28/19,NA,27,105,132,168,36,1,3,3,NA,1,0.0173,,
1.4.12,25A,BO_021,BO,21,P4,BO_021_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.12,25E,BO_021,BO,21,P5,BO_021_P5,-31.3259,431.3044,1.1,4/22/19,2.8,IMG_4265,1.71,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,NA,6/11/19,27,105,132,182,50,NA,NA,NA,1,1,0.0055,,
1.4.12,25I,BO_021,BO,21,P6,BO_021_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.12,45A,BO_021,BO,21,P7,BO_021_P7,-29.4069,588.8184,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/11/19,6/11/19,NA,27,112,139,174,35,3,3,1,NA,3,0.0219,,
1.4.12,45E,BO_021,BO,21,P8,BO_021_P8,-30.1195,663.8648,2.2,4/22/19,4,IMG_4266,2.43,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,1,3,3,NA,1,0.011,,
1.4.12,45I,BO_021,BO,21,P9,BO_021_P9,-30.4409,219.7749,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042,,
1.5.0,5A,BO_022,BO,22,P1,BO_022_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.0,5E,BO_022,BO,22,P2,BO_022_P2,-29.9942,861.7103,3.3,4/22/19,9.9,IMG_4288,2.78,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,1,5,5,NA,1,0.0297,,
1.5.0,5I,BO_022,BO,22,P3,BO_022_P3,-30.5668,446.7285,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/28/19,5/14/19,NA,27,105,132,153,21,4,8,2,NA,4,0.0442,,
1.5.0,25A,BO_022,BO,22,P4,BO_022_P4,-32.094,463.0115,1.3,4/22/19,3.8,IMG_4290,2.01,5/6/19,10,IMG_4501,1.53,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,2,6,3,NA,2,0.0338,,
1.5.0,25E,BO_022,BO,22,P5,BO_022_P5,NA,NA,NA,4/22/19,10.9,IMG_4289,3.49,4/30/19,17,IMG_4450,2.84,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/20/19,5/14/19,NA,27,105,132,153,21,2,14,7,NA,2,NA,,
1.5.0,25I,BO_022,BO,22,P6,BO_022_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.0,45A,BO_022,BO,22,P7,BO_022_P7,-30.623,698.6551,2.2,4/22/19,3.7,IMG_4291,2.41,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,0.0106,,
1.5.0,45E,BO_022,BO,22,P8,BO_022_P8,-31.1747,507.2884,1.6,4/22/19,8.2,IMG_4292,2.52,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,6/11/19,27,105,132,174,42,2,2,1,1,3,0.0399,,
1.5.0,45I,BO_022,BO,22,P9,BO_022_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.2,5A,BO_023,BO,23,P1,BO_023_P1,-30.3223,620.9649,2,4/22/19,7,IMG_4293,2.45,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,4,7,1.75,NA,4,0.0527,,
1.5.2,5E,BO_023,BO,23,P2,BO_023_P2,-31.7685,298.4859,1.1,4/22/19,6.1,IMG_4294,2.3,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/22/19,5/20/19,5/20/19,5/20/19,NA,34,98,132,160,28,1,4,4,NA,1,0.0124,,
1.5.2,5I,BO_023,BO,23,P3,BO_023_P3,-29.951,532.9581,1.9,4/22/19,6.4,IMG_4295,2.09,4/22/19,4.8,IMG_4296,1.77,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,3,6,2,NA,3,0.0446,,
1.5.2,25A,BO_023,BO,23,P4,BO_023_P4,-29.4408,887.7664,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,8,8,NA,1,0.0555,,
1.5.2,25E,BO_023,BO,23,P5,BO_023_P5,-29.6909,624.8102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,0.0206,,
1.5.2,25I,BO_023,BO,23,P6,BO_023_P6,-30.2948,749.1796,2.6,4/22/19,5.8,IMG_4297,2.67,4/22/19,4.5,IMG_4298,2.71,4/30/19,9,IMG_4451,2.05,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,6,13,2.17,NA,6,0.1198,,
1.5.2,45A,BO_023,BO,23,P7,BO_023_P7,-28.9107,727.7713,2.7,4/22/19,11.1,IMG_4299,2.88,4/30/19,13.6,IMG_4452,2.52,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,6/3/19,27,105,132,153,21,9,58,6.44,5,14,0.1045,,
1.5.2,45E,BO_023,BO,23,P8,BO_023_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.2,45I,BO_023,BO,23,P9,BO_023_P9,-30.4592,559.8932,1.8,4/22/19,0.8,IMG_4300,2.33,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/28/19,5/14/19,NA,27,105,132,153,21,4,10,2.5,NA,4,0.0565,,
1.5.4,5A,BO_024,BO,24,P1,BO_024_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.4,5E,BO_024,BO,24,P2,BO_024_P2,-30.1,958.9167,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/28/19,6/3/19,5/28/19,NA,27,112,139,168,29,3,19,6.33,NA,3,0.0652,,
1.5.4,5I,BO_024,BO,24,P3,BO_024_P3,-31.2712,623.6084,1.8,4/30/19,9,IMG_4453,2.35,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/28/19,5/14/19,NA,27,105,132,153,21,2,5,2.5,NA,2,0.0261,,
1.5.4,25A,BO_024,BO,24,P4,BO_024_P4,-30.9081,399.6969,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,6/3/19,5/20/19,NA,27,105,132,160,28,3,5,1.67,NA,3,0.0368,,
1.5.4,25E,BO_024,BO,24,P5,BO_024_P5,-29.5916,775.0301,2.7,4/22/19,5.7,IMG_4301,2.59,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,6/3/19,5/20/19,6/3/19,27,105,132,160,28,1,3,3,1,2,0.0392,,
1.5.4,25I,BO_024,BO,24,P6,BO_024_P6,NA,NA,NA,4/22/19,1.9,IMG_4302,1.72,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,0.02,,
1.5.4,45A,BO_024,BO,24,P7,BO_024_P7,-30.9314,859.8918,2.7,4/22/19,8.6,IMG_4303,2.99,4/22/19,8.1,IMG_4304,2.61,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/28/19,6/11/19,5/28/19,NA,27,105,132,168,36,7,26,3.71,NA,7,0.0558,,
1.5.4,45E,BO_024,BO,24,P8,BO_024_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,5,5,NA,1,NA,,
1.5.4,45I,BO_024,BO,24,P9,BO_024_P9,-31.6973,492.5845,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/3/19,6/3/19,NA,27,112,139,174,35,2,6,3,NA,2,0.0349,,
1.5.6,5A,BO_025,BO,25,P1,BO_025_P1,-30.3562,601.7621,2.2,4/22/19,3.9,IMG_4305,2.87,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,34,98,132,153,21,1,0,0,NA,1,0.0182,,
1.5.6,5E,BO_025,BO,25,P2,BO_025_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,5/14/19,NA,27,NA,NA,NA,NA,1,5,5,NA,1,NA,,
1.5.6,5I,BO_025,BO,25,P3,BO_025_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.6,25A,BO_025,BO,25,P4,BO_025_P4,-30.6041,548.2038,1.8,4/22/19,5.8,IMG_4306,2.31,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,3,18,6,NA,3,0.0489,,
1.5.6,25E,BO_025,BO,25,P5,BO_025_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,2,2,NA,1,NA,,
1.5.6,25I,BO_025,BO,25,P6,BO_025_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.6,45A,BO_025,BO,25,P7,BO_025_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.6,45E,BO_025,BO,25,P8,BO_025_P8,-30.7208,473.8832,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/3/19,6/3/19,NA,27,112,139,174,35,3,19,6.33,NA,3,0.0561,,
1.5.6,45I,BO_025,BO,25,P9,BO_025_P9,-34.5858,1090.3824,3.3,4/22/19,3.7,IMG_4307,2.34,5/6/19,7.5,IMG_4502,1.86,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,6/11/19,5/20/19,6/11/19,27,105,132,160,28,4,19,4.75,1,5,0.0933,,
1.5.10,5A,BO_026,BO,26,P1,BO_026_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.10,5E,BO_026,BO,26,P2,BO_026_P2,-30.2312,655.1471,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/20/19,5/14/19,5/20/19,27,112,139,153,14,1,5,5,1,2,0.0233,,
1.5.10,5I,BO_026,BO,26,P3,BO_026_P3,-31.1875,1111.1837,3.5,4/22/19,4.6,IMG_4308,2.37,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,1,0,0,NA,1,0.067,,
1.5.10,25A,BO_026,BO,26,P4,BO_026_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,
1.5.10,25E,BO_026,BO,26,P5,BO_026_P5,-30.4344,340.6571,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,1,1,NA,1,0.0136,,
1.5.10,25I,BO_026,BO,26,P6,BO_026_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.10,45A,BO_026,BO,26,P7,BO_026_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,
1.5.10,45E,BO_026,BO,26,P8,BO_026_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,0,0,NA,1,NA,,
1.5.10,45I,BO_026,BO,26,P9,BO_026_P9,-30.1741,799.5495,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/20/19,5/28/19,5/20/19,NA,27,112,139,160,21,3,9,3,NA,3,0.0645,,
1.5.12,5A,BO_027,BO,27,P1,BO_027_P1,-29.0694,604.4476,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,NA,5/14/19,27,105,132,153,21,NA,NA,NA,1,1,0.0122,,
1.5.12,5E,BO_027,BO,27,P2,BO_027_P2,-29.8203,1081.2966,3.3,4/22/19,3.8,IMG_4309,2.76,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,NA,27,105,132,153,21,7,34,4.86,NA,7,0.1062,,
1.5.12,5I,BO_027,BO,27,P3,BO_027_P3,-29.1244,900.8015,3.5,4/22/19,4.8,IMG_4310,2.57,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,4,14,3.5,NA,4,0.051,,petals folded; corolla measurement underestimated
1.5.12,25A,BO_027,BO,27,P4,BO_027_P4,-29.8485,758.3709,2.5,4/22/19,5.2,IMG_4311,2.88,4/22/19,8,IMG_4312,2.44,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,4,13,3.25,NA,4,0.0549,,
1.5.12,25E,BO_027,BO,27,P5,BO_027_P5,-29.3923,1054.6551,4,4/22/19,7.2,IMG_4313,2.3,4/30/19,8.5,IMG_4454,1.78,5/6/19,17.5,IMG_4503,1.74,12/11/18,1/14/19,4/22/19,5/13/19,6/11/19,5/14/19,6/11/19,34,98,132,153,21,15,68,4.53,2,17,0.5,,
1.5.12,25I,BO_027,BO,27,P6,BO_027_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.12,45A,BO_027,BO,27,P7,BO_027_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.5.12,45E,BO_027,BO,27,P8,BO_027_P8,-29.5507,516.6126,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205,,
1.5.12,45I,BO_027,BO,27,P9,BO_027_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.6.0,5A,BO_028,BO,28,P1,BO_028_P1,-29.6433,543.3566,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,2,2,NA,1,0.0116,,
1.6.0,5E,BO_028,BO,28,P2,BO_028_P2,-30.9064,188.3497,0.8,4/22/19,4.6,IMG_4327,1.98,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,0.0099,,
1.6.0,5I,BO_028,BO,28,P3,BO_028_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.6.0,25A,BO_028,BO,28,P4,BO_028_P4,-30.0478,1055.8643,2.6,4/22/19,5.3,IMG_4328,2.77,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,5/20/19,NA,27,105,132,NA,NA,1,5,5,NA,1,0.0319,,
1.6.0,25E,BO_028,BO,28,P5,BO_028_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.6.0,25I,BO_028,BO,28,P6,BO_028_P6,NA,NA,NA,4/8/19,1.9,20190408_161625_HDR.jpg,2.37,4/16/19,6.1,IMG-4176,2.86,NA,NA,NA,NA,12/11/18,1/7/19,4/8/19,5/13/19,5/13/19,5/14/19,NA,27,91,118,153,35,1,3,3,NA,1,NA,,
1.6.0,45A,BO_028,BO,28,P7,BO_028_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,2,2,NA,1,NA,,
1.6.0,45E,BO_028,BO,28,P8,BO_028_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.6.0,45I,BO_028,BO,28,P9,BO_028_P9,-30.2489,453.9787,1.6,4/22/19,7,IMG_4329,2.33,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/15/19,5/28/19,6/11/19,NA,5/28/19,34,91,125,168,43,NA,NA,NA,3,3,0.0263,,
1.6.4,5A,BO_029,BO,29,P1,BO_029_P1,-31.0674,546.5359,1.7,4/22/19,7.4,IMG_4326,2.97,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,34,98,132,153,21,2,4,2,NA,2,0.0244,,
1.6.4,5E,BO_029,BO,29,P2,BO_029_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,2,2,NA,1,NA,,
1.6.4,5I,BO_029,BO,29,P3,BO_029_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.6.4,25A,BO_029,BO,29,P4,BO_029_P4,-30.2108,627.8266,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,3,5,1.67,NA,3,0.0418,,
